one,two,three,four,five,six,seven,author,title
黃,門,飛,鞚,不,動,塵,杜甫,雜曲歌辭 麗人行
御,廚,絲,絡,送,八,珍,杜甫,雜曲歌辭 麗人行
簫,鼓,哀,吟,感,鬼,神,杜甫,雜曲歌辭 麗人行
賓,從,雜,遝,實,要,津,杜甫,雜曲歌辭 麗人行
後,來,鞍,馬,何,逡,巡,杜甫,雜曲歌辭 麗人行
當,軒,下,馬,入,錦,茵,杜甫,雜曲歌辭 麗人行
楊,花,雪,落,覆,白,蘋,杜甫,雜曲歌辭 麗人行
青,鳥,飛,去,銜,紅,巾,杜甫,雜曲歌辭 麗人行
炙,手,可,熱,勢,絕,倫,杜甫,雜曲歌辭 麗人行
慎,莫,近,前,丞,相,嗔,杜甫,雜曲歌辭 麗人行
絡,緯,秋,啼,金,井,欄,李白,雜曲歌辭 長相思三首 一
微,霜,淒,淒,簟,色,寒,李白,雜曲歌辭 長相思三首 一
孤,燈,不,明,思,欲,絕,李白,雜曲歌辭 長相思三首 一
卷,帷,望,月,空,長,歎,李白,雜曲歌辭 長相思三首 一
美,人,如,花,隔,雲,端,李白,雜曲歌辭 長相思三首 一
上,有,青,冥,之,長,天,李白,雜曲歌辭 長相思三首 一
下,有,綠,水,之,波,瀾,李白,雜曲歌辭 長相思三首 一
天,長,路,遠,魂,飛,苦,李白,雜曲歌辭 長相思三首 一
夢,魂,不,到,關,山,難,李白,雜曲歌辭 長相思三首 一
日,色,已,盡,花,含,煙,李白,雜曲歌辭 長相思三首 二
月,明,欲,素,愁,不,眠,李白,雜曲歌辭 長相思三首 二
趙,瑟,初,停,鳳,凰,柱,李白,雜曲歌辭 長相思三首 二
蜀,琴,欲,奏,鴛,鴦,弦,李白,雜曲歌辭 長相思三首 二
此,曲,有,意,無,人,傳,李白,雜曲歌辭 長相思三首 二
願,隨,春,風,寄,燕,然,李白,雜曲歌辭 長相思三首 二
憶,君,迢,迢,隔,青,天,李白,雜曲歌辭 長相思三首 二
歸,來,看,取,明,鏡,前,李白,雜曲歌辭 長相思三首 二
金,尊,清,酒,斗,十,千,李白,雜曲歌辭 行路難三首 一
玉,盤,珍,羞,直,萬,錢,李白,雜曲歌辭 行路難三首 一
停,杯,投,筯,不,能,食,李白,雜曲歌辭 行路難三首 一
拔,劒,四,顧,心,茫,然,李白,雜曲歌辭 行路難三首 一
欲,渡,黃,河,冰,塞,川,李白,雜曲歌辭 行路難三首 一
將,登,太,行,雪,暗,天,李白,雜曲歌辭 行路難三首 一
閑,來,垂,釣,坐,溪,上,李白,雜曲歌辭 行路難三首 一
忽,復,乘,舟,夢,日,邊,李白,雜曲歌辭 行路難三首 一
長,風,破,浪,會,有,時,李白,雜曲歌辭 行路難三首 一
直,挂,雲,帆,濟,滄,海,李白,雜曲歌辭 行路難三首 一
羞,逐,長,安,社,中,兒,李白,雜曲歌辭 行路難三首 二
赤,雞,白,狗,賭,梨,栗,李白,雜曲歌辭 行路難三首 二
彈,劒,作,歌,奏,苦,聲,李白,雜曲歌辭 行路難三首 二
曳,裾,王,門,不,稱,情,李白,雜曲歌辭 行路難三首 二
淮,陰,市,井,笑,韓,信,李白,雜曲歌辭 行路難三首 二
漢,朝,公,卿,忌,賈,生,李白,雜曲歌辭 行路難三首 二
擁,篲,折,腰,無,嫌,猜,李白,雜曲歌辭 行路難三首 二
劇,辛,樂,毅,感,恩,分,李白,雜曲歌辭 行路難三首 二
輸,肝,剖,膽,效,英,才,李白,雜曲歌辭 行路難三首 二
昭,王,白,骨,縈,蔓,草,李白,雜曲歌辭 行路難三首 二
誰,人,更,掃,黃,金,臺,李白,雜曲歌辭 行路難三首 二
有,耳,莫,洗,潁,川,水,李白,雜曲歌辭 行路難三首 三
有,口,莫,食,首,陽,蕨,李白,雜曲歌辭 行路難三首 三
含,光,混,世,貴,無,名,李白,雜曲歌辭 行路難三首 三
何,用,孤,高,比,雲,月,李白,雜曲歌辭 行路難三首 三
吾,觀,自,古,賢,達,人,李白,雜曲歌辭 行路難三首 三
功,成,不,退,皆,殞,身,李白,雜曲歌辭 行路難三首 三
子,胥,既,棄,吳,江,上,李白,雜曲歌辭 行路難三首 三
屈,原,終,投,湘,水,濱,李白,雜曲歌辭 行路難三首 三
陸,機,才,多,豈,自,保,李白,雜曲歌辭 行路難三首 三
李,斯,稅,駕,苦,不,早,李白,雜曲歌辭 行路難三首 三
華,亭,鶴,唳,詎,可,聞,李白,雜曲歌辭 行路難三首 三
上,蔡,蒼,鷹,何,足,道,李白,雜曲歌辭 行路難三首 三
秋,風,忽,憶,江,東,行,李白,雜曲歌辭 行路難三首 三
且,樂,生,前,一,杯,酒,李白,雜曲歌辭 行路難三首 三
何,須,身,後,千,載,名,李白,雜曲歌辭 行路難三首 三
盧,家,小,婦,鬱,金,堂,沈佺期,雜曲歌辭 獨不見
海,燕,雙,栖,玳,瑁,梁,沈佺期,雜曲歌辭 獨不見
九,月,寒,砧,催,下,葉,沈佺期,雜曲歌辭 獨不見
十,年,征,戍,憶,遼,陽,沈佺期,雜曲歌辭 獨不見
白,狼,河,北,音,書,斷,沈佺期,雜曲歌辭 獨不見
丹,鳳,城,南,秋,夜,長,沈佺期,雜曲歌辭 獨不見
誰,知,含,愁,獨,不,見,沈佺期,雜曲歌辭 獨不見
使,妾,明,月,照,流,黃,沈佺期,雜曲歌辭 獨不見
桂,魄,初,生,秋,露,微,王涯,雜曲歌辭 秋夜曲
輕,羅,已,薄,未,更,衣,王涯,雜曲歌辭 秋夜曲
銀,箏,夜,久,殷,勤,弄,王涯,雜曲歌辭 秋夜曲
心,怯,空,房,不,忍,歸,王涯,雜曲歌辭 秋夜曲
鶯,啼,燕,語,報,新,年,皇甫冉,春思
馬,邑,龍,堆,路,幾,千,皇甫冉,春思
家,住,秦,城,鄰,漢,苑,皇甫冉,春思
心,隨,明,月,到,胡,天,皇甫冉,春思
機,中,錦,字,論,長,恨,皇甫冉,春思
樓,上,花,枝,笑,獨,眠,皇甫冉,春思
爲,問,元,戎,竇,車,騎,皇甫冉,春思
何,時,反,斾,勒,燕,然,皇甫冉,春思
更,深,月,色,半,人,家,劉方平,夜月
北,斗,闌,干,南,斗,斜,劉方平,夜月
今,夜,偏,知,春,氣,暖,劉方平,夜月
蟲,聲,新,透,綠,窗,紗,劉方平,夜月
紗,窗,日,落,漸,黃,昏,劉方平,春怨
金,屋,無,人,見,淚,痕,劉方平,春怨
寂,寞,空,庭,春,欲,晚,劉方平,春怨
梨,花,滿,地,不,開,門,劉方平,春怨
黃,河,遠,上,白,雲,間,王之渙,涼州詞二首” 一
一,片,孤,城,萬,仞,山,王之渙,涼州詞二首” 一
羌,笛,何,須,怨,楊,柳,王之渙,涼州詞二首” 一
春,光,不,度,玉,門,關,王之渙,涼州詞二首” 一
歲,歲,金,河,復,玉,關,柳中庸,征怨
朝,朝,馬,策,與,刀,環,柳中庸,征怨
三,春,白,雪,歸,青,冢,柳中庸,征怨
萬,里,黃,河,遶,黑,山,柳中庸,征怨
玉,樓,天,半,起,笙,歌,顧況,宮詞五首 二
風,送,宮,嬪,笑,語,和,顧況,宮詞五首 二
月,殿,影,開,聞,夜,漏,顧況,宮詞五首 二
水,精,簾,卷,近,銀,河,顧況,宮詞五首 二
