one,two,three,four,five,author,title
西,陸,蟬,聲,唱,駱賓王,在嶽詠蟬
南,冠,客,思,侵,駱賓王,在嶽詠蟬
那,堪,玄,鬢,影,駱賓王,在嶽詠蟬
來,對,白,頭,吟,駱賓王,在嶽詠蟬
露,重,飛,難,進,駱賓王,在嶽詠蟬
風,多,響,易,沈,駱賓王,在嶽詠蟬
無,人,信,高,潔,駱賓王,在嶽詠蟬
誰,爲,表,予,心,駱賓王,在嶽詠蟬
前,不,見,古,人,陳子昂,登幽州臺歌
後,不,見,來,者,陳子昂,登幽州臺歌
夫,子,何,爲,者,明皇帝,經鄒魯祭孔子而歎之
栖,栖,一,代,中,明皇帝,經鄒魯祭孔子而歎之
地,猶,鄹,氏,邑,明皇帝,經鄒魯祭孔子而歎之
宅,即,魯,王,宮,明皇帝,經鄒魯祭孔子而歎之
歎,鳳,嗟,身,否,明皇帝,經鄒魯祭孔子而歎之
傷,麟,怨,道,窮,明皇帝,經鄒魯祭孔子而歎之
今,看,兩,楹,奠,明皇帝,經鄒魯祭孔子而歎之
當,與,夢,時,同,明皇帝,經鄒魯祭孔子而歎之
與,君,歌,一,曲,李白,鼓吹曲辭 將進酒
明,月,出,天,山,李白,橫吹曲辭 關山月
蒼,茫,雲,海,間,李白,橫吹曲辭 關山月
長,風,幾,萬,里,李白,橫吹曲辭 關山月
吹,度,玉,門,關,李白,橫吹曲辭 關山月
漢,下,白,登,道,李白,橫吹曲辭 關山月
胡,窺,青,海,灣,李白,橫吹曲辭 關山月
由,來,征,戰,地,李白,橫吹曲辭 關山月
不,見,有,人,還,李白,橫吹曲辭 關山月
戍,客,望,邊,色,李白,橫吹曲辭 關山月
思,歸,多,苦,顏,李白,橫吹曲辭 關山月
高,樓,當,此,夜,李白,橫吹曲辭 關山月
歎,息,未,應,閑,李白,橫吹曲辭 關山月
三,日,入,廚,下,王建,新嫁娘詞三首 三
洗,手,作,羹,湯,王建,新嫁娘詞三首 三
未,諳,姑,食,性,王建,新嫁娘詞三首 三
先,遣,小,姑,嘗,王建,新嫁娘詞三首 三
寥,落,古,行,宮,王建,故行宮
宮,花,寂,寞,紅,王建,故行宮
白,頭,宮,女,在,王建,故行宮
閑,坐,說,玄,宗,王建,故行宮
本,以,高,難,飽,李商隱,蟬
徒,勞,恨,費,聲,李商隱,蟬
五,更,疎,欲,斷,李商隱,蟬
一,樹,碧,無,情,李商隱,蟬
薄,宦,梗,猶,汎,李商隱,蟬
故,園,蕪,已,平,李商隱,蟬
煩,君,最,相,警,李商隱,蟬
我,亦,舉,家,清,李商隱,蟬
向,晚,意,不,適,李商隱,樂遊原
驅,車,登,古,原,李商隱,樂遊原
夕,陽,無,限,好,李商隱,樂遊原
只,是,近,黃,昏,李商隱,樂遊原
淒,涼,寶,劍,篇,李商隱,風雨
羈,泊,欲,窮,年,李商隱,風雨
黃,葉,仍,風,雨,李商隱,風雨
青,樓,自,管,絃,李商隱,風雨
新,知,遭,薄,俗,李商隱,風雨
舊,好,隔,良,緣,李商隱,風雨
心,斷,新,豐,酒,李商隱,風雨
銷,愁,斗,幾,千,李商隱,風雨
高,閣,客,竟,去,李商隱,落花
小,園,花,亂,飛,李商隱,落花
參,差,連,曲,陌,李商隱,落花
迢,遰,送,斜,暉,李商隱,落花
腸,斷,未,忍,掃,李商隱,落花
眼,穿,仍,欲,歸,李商隱,落花
芳,心,向,春,盡,李商隱,落花
所,得,是,沾,衣,李商隱,落花
客,去,波,平,檻,李商隱,涼思
蟬,休,露,滿,枝,李商隱,涼思
永,懷,當,此,節,李商隱,涼思
倚,立,自,移,時,李商隱,涼思
北,斗,兼,春,遠,李商隱,涼思
南,陵,寓,使,遲,李商隱,涼思
天,涯,占,夢,數,李商隱,涼思
疑,誤,有,新,知,李商隱,涼思
殘,陽,西,入,崦,李商隱,北青蘿
茅,屋,訪,孤,僧,李商隱,北青蘿
落,葉,人,何,在,李商隱,北青蘿
寒,雲,路,幾,層,李商隱,北青蘿
獨,敲,初,夜,磬,李商隱,北青蘿
閑,倚,一,枝,藤,李商隱,北青蘿
世,界,微,塵,裏,李商隱,北青蘿
吾,寧,愛,與,憎,李商隱,北青蘿
清,瑟,怨,遙,夜,韋莊,章臺夜思
遶,弦,風,雨,哀,韋莊,章臺夜思
孤,燈,聞,楚,角,韋莊,章臺夜思
殘,月,下,章,臺,韋莊,章臺夜思
芳,草,已,云,暮,韋莊,章臺夜思
故,人,殊,未,來,韋莊,章臺夜思
鄉,書,不,可,寄,韋莊,章臺夜思
秋,雁,又,南,迴,韋莊,章臺夜思
露,氣,寒,光,集,馬戴,楚江懷古三首 一
微,陽,下,楚,丘,馬戴,楚江懷古三首 一
猨,啼,洞,庭,樹,馬戴,楚江懷古三首 一
人,在,木,蘭,舟,馬戴,楚江懷古三首 一
廣,澤,生,明,月,馬戴,楚江懷古三首 一
蒼,山,夾,亂,流,馬戴,楚江懷古三首 一
雲,中,君,不,降,馬戴,楚江懷古三首 一
竟,夕,自,悲,秋,馬戴,楚江懷古三首 一
灞,原,風,雨,定,馬戴,灞上秋居
晚,見,鴈,行,頻,馬戴,灞上秋居
落,葉,他,鄉,樹,馬戴,灞上秋居
寒,燈,獨,夜,人,馬戴,灞上秋居
空,園,白,露,滴,馬戴,灞上秋居
孤,壁,野,僧,隣,馬戴,灞上秋居
寄,臥,郊,扉,久,馬戴,灞上秋居
何,門,致,此,身,馬戴,灞上秋居
前,年,伐,月,支,張籍,沒蕃故人
城,上,沒,全,師,張籍,沒蕃故人
蕃,漢,斷,消,息,張籍,沒蕃故人
死,生,長,別,離,張籍,沒蕃故人
無,人,收,廢,帳,張籍,沒蕃故人
歸,馬,識,殘,旗,張籍,沒蕃故人
欲,祭,疑,君,在,張籍,沒蕃故人
天,涯,哭,此,時,張籍,沒蕃故人
打,起,黃,鶯,兒,金昌緒,春怨
莫,教,枝,上,啼,金昌緒,春怨
啼,時,驚,妾,夢,金昌緒,春怨
不,得,到,遼,西,金昌緒,春怨
寥,落,古,行,宮,元稹,行宮
宮,花,寂,寞,紅,元稹,行宮
白,頭,宮,女,在,元稹,行宮
閑,坐,說,玄,宗,元稹,行宮
北,斗,七,星,高,西鄙人,哥舒歌
哥,舒,夜,帶,刀,西鄙人,哥舒歌
至,今,窺,牧,馬,西鄙人,哥舒歌
不,敢,過,臨,洮,西鄙人,哥舒歌
聞,道,黃,龍,戍,沈佺期,雜詩三首 三
頻,年,不,解,兵,沈佺期,雜詩三首 三
可,憐,閨,裏,月,沈佺期,雜詩三首 三
長,在,漢,家,營,沈佺期,雜詩三首 三
少,婦,今,春,意,沈佺期,雜詩三首 三
良,人,昨,夜,情,沈佺期,雜詩三首 三
誰,能,將,旗,鼓,沈佺期,雜詩三首 三
一,爲,取,龍,城,沈佺期,雜詩三首 三
客,路,青,山,外,王灣,次北固山下
行,舟,綠,水,前,王灣,次北固山下
潮,平,兩,岸,闊,王灣,次北固山下
風,正,一,帆,懸,王灣,次北固山下
海,日,生,殘,夜,王灣,次北固山下
江,春,入,舊,年,王灣,次北固山下
鄉,書,何,處,達,王灣,次北固山下
歸,雁,洛,陽,邊,王灣,次北固山下
下,馬,飲,君,酒,王維,送別
問,君,何,所,之,王維,送別
君,言,不,得,意,王維,送別
歸,臥,南,山,陲,王維,送別
但,去,莫,復,問,王維,送別
白,雲,無,盡,時,王維,送別
聖,代,無,隱,者,王維,送綦毋潛落第還鄉
英,靈,盡,來,歸,王維,送綦毋潛落第還鄉
遂,令,東,山,客,王維,送綦毋潛落第還鄉
不,得,顧,采,薇,王維,送綦毋潛落第還鄉
既,至,君,門,遠,王維,送綦毋潛落第還鄉
孰,云,吾,道,非,王維,送綦毋潛落第還鄉
江,淮,度,寒,食,王維,送綦毋潛落第還鄉
京,洛,縫,春,衣,王維,送綦毋潛落第還鄉
置,酒,臨,長,道,王維,送綦毋潛落第還鄉
同,心,與,我,違,王維,送綦毋潛落第還鄉
行,當,浮,桂,櫂,王維,送綦毋潛落第還鄉
未,幾,拂,荆,扉,王維,送綦毋潛落第還鄉
遠,樹,帶,行,客,王維,送綦毋潛落第還鄉
孤,村,當,落,暉,王維,送綦毋潛落第還鄉
吾,謀,適,不,用,王維,送綦毋潛落第還鄉
勿,謂,知,音,稀,王維,送綦毋潛落第還鄉
言,入,黃,花,川,王維,青谿
每,逐,青,谿,水,王維,青谿
隨,山,將,萬,轉,王維,青谿
趣,途,無,百,里,王維,青谿
聲,喧,亂,石,中,王維,青谿
色,靜,深,松,裏,王維,青谿
漾,漾,汎,菱,荇,王維,青谿
澄,澄,映,葭,葦,王維,青谿
我,心,素,已,閑,王維,青谿
清,川,澹,如,此,王維,青谿
請,留,盤,石,上,王維,青谿
垂,釣,將,已,矣,王維,青谿
斜,陽,照,墟,落,王維,渭川田家
窮,巷,牛,羊,歸,王維,渭川田家
野,老,念,牧,童,王維,渭川田家
倚,杖,候,荆,扉,王維,渭川田家
雉,雊,麥,苗,秀,王維,渭川田家
蠶,眠,桑,葉,稀,王維,渭川田家
田,夫,荷,鋤,至,王維,渭川田家
相,見,語,依,依,王維,渭川田家
即,此,羨,閑,逸,王維,渭川田家
悵,然,吟,式,微,王維,渭川田家
豔,色,天,下,重,王維,西施詠
西,施,寧,久,微,王維,西施詠
朝,仍,越,溪,女,王維,西施詠
暮,作,吳,宮,妃,王維,西施詠
賤,日,豈,殊,衆,王維,西施詠
貴,來,方,悟,稀,王維,西施詠
邀,人,傅,香,粉,王維,西施詠
不,自,著,羅,衣,王維,西施詠
君,寵,益,嬌,態,王維,西施詠
君,憐,無,是,非,王維,西施詠
當,時,浣,紗,伴,王維,西施詠
莫,得,同,車,歸,王維,西施詠
持,謝,鄰,家,子,王維,西施詠
效,顰,安,可,希,王維,西施詠
寒,山,轉,蒼,翠,王維,輞川閑居贈裴秀才迪
秋,水,日,潺,湲,王維,輞川閑居贈裴秀才迪
倚,杖,柴,門,外,王維,輞川閑居贈裴秀才迪
臨,風,聽,暮,蟬,王維,輞川閑居贈裴秀才迪
渡,頭,餘,落,日,王維,輞川閑居贈裴秀才迪
墟,里,上,孤,煙,王維,輞川閑居贈裴秀才迪
復,值,接,輿,醉,王維,輞川閑居贈裴秀才迪
狂,歌,五,柳,前,王維,輞川閑居贈裴秀才迪
晚,年,唯,好,靜,王維,酬張少府
萬,事,不,關,心,王維,酬張少府
自,顧,無,長,策,王維,酬張少府
空,知,返,舊,林,王維,酬張少府
松,風,吹,解,帶,王維,酬張少府
山,月,照,彈,琴,王維,酬張少府
君,問,窮,通,理,王維,酬張少府
漁,歌,入,浦,深,王維,酬張少府
萬,壑,樹,參,天,王維,送梓州李使君
千,山,響,杜,鵑,王維,送梓州李使君
山,中,一,夜,雨,王維,送梓州李使君
樹,杪,百,重,泉,王維,送梓州李使君
漢,女,輸,橦,布,王維,送梓州李使君
巴,人,訟,芋,田,王維,送梓州李使君
文,翁,翻,教,授,王維,送梓州李使君
不,敢,倚,先,賢,王維,送梓州李使君
昨,夜,裙,帶,解,權德輿,玉臺體十二首 十一
今,朝,蟢,子,飛,權德輿,玉臺體十二首 十一
鉛,華,不,可,棄,權德輿,玉臺體十二首 十一
莫,是,藁,砧,歸,權德輿,玉臺體十二首 十一
早,被,嬋,娟,誤,杜荀鶴,春宮怨
欲,妝,臨,鏡,慵,杜荀鶴,春宮怨
承,恩,不,在,貌,杜荀鶴,春宮怨
教,妾,若,爲,容,杜荀鶴,春宮怨
風,暖,鳥,聲,碎,杜荀鶴,春宮怨
日,高,花,影,重,杜荀鶴,春宮怨
年,年,越,溪,女,杜荀鶴,春宮怨
相,憶,採,芙,蓉,杜荀鶴,春宮怨
旅,館,無,良,伴,杜牧,旅宿
凝,情,自,悄,然,杜牧,旅宿
寒,燈,思,舊,事,杜牧,旅宿
斷,鴈,警,愁,眠,杜牧,旅宿
遠,夢,歸,侵,曉,杜牧,旅宿
家,書,到,隔,年,杜牧,旅宿
湘,江,好,煙,月,杜牧,旅宿
門,繫,釣,魚,船,杜牧,旅宿
遙,夜,泛,清,瑟,許渾,早秋三首 一
西,風,生,翠,蘿,許渾,早秋三首 一
殘,螢,委,玉,露,許渾,早秋三首 一
早,鴈,拂,銀,河,許渾,早秋三首 一
高,樹,曉,還,密,許渾,早秋三首 一
遠,山,晴,更,多,許渾,早秋三首 一
淮,南,一,葉,下,許渾,早秋三首 一
自,覺,老,煙,波,許渾,早秋三首 一
紅,葉,晚,蕭,蕭,許渾,秋日赴闕題潼關驛樓
長,亭,酒,一,瓢,許渾,秋日赴闕題潼關驛樓
殘,雲,歸,太,華,許渾,秋日赴闕題潼關驛樓
疎,雨,過,中,條,許渾,秋日赴闕題潼關驛樓
樹,色,隨,山,迥,許渾,秋日赴闕題潼關驛樓
河,聲,入,海,遙,許渾,秋日赴闕題潼關驛樓
帝,鄉,明,日,到,許渾,秋日赴闕題潼關驛樓
猶,自,夢,漁,樵,許渾,秋日赴闕題潼關驛樓
打,起,黄,鶯,兒,釋明辯,頌古三十二首  其二三
莫,教,枝,上,啼,釋明辯,頌古三十二首  其二三
幾,回,驚,妾,夢,釋明辯,頌古三十二首  其二三
不,得,到,遼,西,釋明辯,頌古三十二首  其二三
十,年,離,亂,後,李益,喜見外弟又言別
長,大,一,相,逢,李益,喜見外弟又言別
問,姓,驚,初,見,李益,喜見外弟又言別
稱,名,憶,舊,容,李益,喜見外弟又言別
別,來,滄,海,事,李益,喜見外弟又言別
語,罷,暮,天,鐘,李益,喜見外弟又言別
明,日,巴,陵,道,李益,喜見外弟又言別
秋,山,又,幾,重,李益,喜見外弟又言別
嫁,得,瞿,塘,賈,李益,江南詞
朝,朝,悞,妾,期,李益,江南詞
早,知,潮,有,信,李益,江南詞
嫁,與,弄,潮,兒,李益,江南詞
鳴,箏,金,粟,柱,李端,聽箏
素,手,玉,房,前,李端,聽箏
欲,得,周,郎,顧,李端,聽箏
時,時,誤,拂,弦,李端,聽箏
世,亂,同,南,去,司空曙,賊平後送人北歸
時,清,獨,北,還,司空曙,賊平後送人北歸
他,鄉,生,白,髮,司空曙,賊平後送人北歸
舊,國,見,青,山,司空曙,賊平後送人北歸
曉,月,過,殘,壘,司空曙,賊平後送人北歸
繁,星,宿,故,關,司空曙,賊平後送人北歸
寒,禽,與,衰,草,司空曙,賊平後送人北歸
處,處,伴,愁,顏,司空曙,賊平後送人北歸
故,人,江,海,別,司空曙,雲陽館與韓紳宿別
幾,度,隔,山,川,司空曙,雲陽館與韓紳宿別
乍,見,翻,疑,夢,司空曙,雲陽館與韓紳宿別
相,悲,各,問,年,司空曙,雲陽館與韓紳宿別
孤,燈,寒,照,雨,司空曙,雲陽館與韓紳宿別
溼,竹,暗,浮,煙,司空曙,雲陽館與韓紳宿別
更,有,明,朝,恨,司空曙,雲陽館與韓紳宿別
離,杯,惜,共,傳,司空曙,雲陽館與韓紳宿別
靜,夜,四,無,鄰,司空曙,喜外弟盧綸見宿
荒,居,舊,業,貧,司空曙,喜外弟盧綸見宿
雨,中,黃,葉,樹,司空曙,喜外弟盧綸見宿
燈,下,白,頭,人,司空曙,喜外弟盧綸見宿
以,我,獨,沈,久,司空曙,喜外弟盧綸見宿
愧,君,相,見,頻,司空曙,喜外弟盧綸見宿
平,生,自,有,分,司空曙,喜外弟盧綸見宿
況,是,蔡,家,親,司空曙,喜外弟盧綸見宿
泠,泠,七,絲,上,劉長卿,聽彈琴
靜,聽,松,風,寒,劉長卿,聽彈琴
古,調,雖,自,愛,劉長卿,聽彈琴
今,人,多,不,彈,劉長卿,聽彈琴
孤,雲,將,野,鶴,劉長卿,送方外上人
豈,向,人,間,住,劉長卿,送方外上人
莫,買,沃,洲,山,劉長卿,送方外上人
時,人,已,知,處,劉長卿,送方外上人
蒼,蒼,竹,林,寺,劉長卿,送靈澈上人
杳,杳,鐘,聲,晚,劉長卿,送靈澈上人
荷,笠,帶,夕,陽,劉長卿,送靈澈上人
青,山,獨,歸,遠,劉長卿,送靈澈上人
鄉,心,新,歲,切,劉長卿,新年作
天,畔,獨,潸,然,劉長卿,新年作
老,至,居,人,下,劉長卿,新年作
春,歸,在,客,先,劉長卿,新年作
嶺,猨,同,旦,暮,劉長卿,新年作
江,柳,共,風,煙,劉長卿,新年作
已,是,長,沙,傅,劉長卿,新年作
從,今,又,幾,年,劉長卿,新年作
古,臺,搖,落,後,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
秋,日,望,鄉,心,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
野,寺,人,來,少,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
雲,峰,水,隔,深,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
夕,陽,依,舊,壘,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
寒,磬,滿,空,林,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
惆,悵,南,朝,事,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
長,江,獨,至,今,劉長卿,秋日登吳公臺上寺遠眺寺即陳將吳明徹戰場
一,路,經,行,處,劉長卿,尋南溪常山道人隱居
莓,苔,見,履,痕,劉長卿,尋南溪常山道人隱居
白,雲,依,靜,渚,劉長卿,尋南溪常山道人隱居
春,草,閉,閑,門,劉長卿,尋南溪常山道人隱居
過,雨,看,松,色,劉長卿,尋南溪常山道人隱居
隨,山,到,水,源,劉長卿,尋南溪常山道人隱居
溪,花,與,禪,意,劉長卿,尋南溪常山道人隱居
相,對,亦,忘,言,劉長卿,尋南溪常山道人隱居
望,君,煙,水,闊,劉長卿,餞別王十一南遊
揮,手,淚,霑,巾,劉長卿,餞別王十一南遊
飛,鳥,沒,何,處,劉長卿,餞別王十一南遊
青,山,空,向,人,劉長卿,餞別王十一南遊
長,江,一,帆,遠,劉長卿,餞別王十一南遊
落,日,五,湖,春,劉長卿,餞別王十一南遊
誰,見,汀,洲,上,劉長卿,餞別王十一南遊
相,思,愁,白,蘋,劉長卿,餞別王十一南遊
北,山,白,雲,裏,孟浩然,秋登蘭山寄張五
隱,者,自,怡,悅,孟浩然,秋登蘭山寄張五
相,望,試,登,高,孟浩然,秋登蘭山寄張五
心,飛,逐,鳥,滅,孟浩然,秋登蘭山寄張五
愁,因,薄,暮,起,孟浩然,秋登蘭山寄張五
興,是,清,秋,發,孟浩然,秋登蘭山寄張五
時,見,歸,村,人,孟浩然,秋登蘭山寄張五
沙,行,渡,頭,歇,孟浩然,秋登蘭山寄張五
天,邊,樹,若,薺,孟浩然,秋登蘭山寄張五
江,畔,舟,如,月,孟浩然,秋登蘭山寄張五
何,當,載,酒,來,孟浩然,秋登蘭山寄張五
共,醉,重,陽,節,孟浩然,秋登蘭山寄張五
山,光,忽,西,落,孟浩然,夏日南亭懷辛大
池,月,漸,東,上,孟浩然,夏日南亭懷辛大
散,髮,乘,夕,涼,孟浩然,夏日南亭懷辛大
開,軒,臥,閑,敞,孟浩然,夏日南亭懷辛大
荷,風,送,香,氣,孟浩然,夏日南亭懷辛大
竹,露,滴,清,響,孟浩然,夏日南亭懷辛大
欲,取,鳴,琴,彈,孟浩然,夏日南亭懷辛大
恨,無,知,音,賞,孟浩然,夏日南亭懷辛大
感,此,懷,故,人,孟浩然,夏日南亭懷辛大
中,宵,勞,夢,想,孟浩然,夏日南亭懷辛大
夕,陽,度,西,嶺,孟浩然,宿業師山房期丁大不至
羣,壑,倏,已,暝,孟浩然,宿業師山房期丁大不至
松,月,生,夜,涼,孟浩然,宿業師山房期丁大不至
風,泉,滿,清,聽,孟浩然,宿業師山房期丁大不至
樵,人,歸,欲,盡,孟浩然,宿業師山房期丁大不至
煙,鳥,棲,初,定,孟浩然,宿業師山房期丁大不至
之,子,期,宿,來,孟浩然,宿業師山房期丁大不至
孤,琴,候,蘿,逕,孟浩然,宿業師山房期丁大不至
八,月,湖,水,平,孟浩然,望洞庭湖贈張丞相
涵,虛,混,太,清,孟浩然,望洞庭湖贈張丞相
氣,蒸,雲,夢,澤,孟浩然,望洞庭湖贈張丞相
波,撼,岳,陽,城,孟浩然,望洞庭湖贈張丞相
欲,濟,無,舟,楫,孟浩然,望洞庭湖贈張丞相
端,居,恥,聖,明,孟浩然,望洞庭湖贈張丞相
坐,觀,垂,釣,者,孟浩然,望洞庭湖贈張丞相
空,有,羨,魚,情,孟浩然,望洞庭湖贈張丞相
一,丘,常,欲,臥,孟浩然,秦中感秋寄遠上人
三,徑,苦,無,資,孟浩然,秦中感秋寄遠上人
北,土,非,吾,願,孟浩然,秦中感秋寄遠上人
東,林,懷,我,師,孟浩然,秦中感秋寄遠上人
黃,金,然,桂,盡,孟浩然,秦中感秋寄遠上人
壯,志,逐,年,衰,孟浩然,秦中感秋寄遠上人
日,夕,涼,風,至,孟浩然,秦中感秋寄遠上人
聞,蟬,但,益,悲,孟浩然,秦中感秋寄遠上人
山,暝,聞,猿,愁,孟浩然,宿桐廬江寄廣陵舊遊
滄,江,急,夜,流,孟浩然,宿桐廬江寄廣陵舊遊
風,鳴,兩,岸,葉,孟浩然,宿桐廬江寄廣陵舊遊
月,照,一,孤,舟,孟浩然,宿桐廬江寄廣陵舊遊
建,德,非,吾,土,孟浩然,宿桐廬江寄廣陵舊遊
維,揚,憶,舊,遊,孟浩然,宿桐廬江寄廣陵舊遊
還,將,兩,行,淚,孟浩然,宿桐廬江寄廣陵舊遊
遙,寄,海,西,頭,孟浩然,宿桐廬江寄廣陵舊遊
木,落,雁,南,度,孟浩然,早寒江上有懷
北,風,江,上,寒,孟浩然,早寒江上有懷
我,家,襄,水,上,孟浩然,早寒江上有懷
遙,隔,楚,雲,端,孟浩然,早寒江上有懷
鄉,淚,客,中,盡,孟浩然,早寒江上有懷
孤,帆,天,際,看,孟浩然,早寒江上有懷
迷,津,欲,有,問,孟浩然,早寒江上有懷
平,海,夕,漫,漫,孟浩然,早寒江上有懷
寂,寂,竟,何,待,孟浩然,留別王侍御維
朝,朝,空,自,歸,孟浩然,留別王侍御維
欲,尋,芳,草,去,孟浩然,留別王侍御維
惜,與,故,人,違,孟浩然,留別王侍御維
當,路,誰,相,假,孟浩然,留別王侍御維
知,音,世,所,稀,孟浩然,留別王侍御維
秪,應,守,索,寞,孟浩然,留別王侍御維
還,掩,故,園,扉,孟浩然,留別王侍御維
林,臥,愁,春,盡,孟浩然,清明日宴梅道士房
開,軒,覽,物,華,孟浩然,清明日宴梅道士房
忽,逢,青,鳥,使,孟浩然,清明日宴梅道士房
邀,入,赤,松,家,孟浩然,清明日宴梅道士房
丹,竈,初,開,火,孟浩然,清明日宴梅道士房
仙,桃,正,落,花,孟浩然,清明日宴梅道士房
童,顏,若,可,駐,孟浩然,清明日宴梅道士房
何,惜,醉,流,霞,孟浩然,清明日宴梅道士房
人,事,有,代,謝,孟浩然,與諸子登峴山
往,來,成,古,今,孟浩然,與諸子登峴山
江,山,留,勝,跡,孟浩然,與諸子登峴山
我,輩,復,登,臨,孟浩然,與諸子登峴山
水,落,魚,梁,淺,孟浩然,與諸子登峴山
天,寒,夢,澤,深,孟浩然,與諸子登峴山
羊,公,碑,字,在,孟浩然,與諸子登峴山
讀,罷,淚,沾,襟,孟浩然,與諸子登峴山
故,人,具,雞,黍,孟浩然,過故人莊
邀,我,至,田,家,孟浩然,過故人莊
綠,樹,村,邊,合,孟浩然,過故人莊
青,山,郭,外,斜,孟浩然,過故人莊
開,筵,面,場,圃,孟浩然,過故人莊
把,酒,話,桑,麻,孟浩然,過故人莊
待,到,重,陽,日,孟浩然,過故人莊
還,來,就,菊,花,孟浩然,過故人莊
北,闕,休,上,書,孟浩然,歲暮歸南山
南,山,歸,敝,廬,孟浩然,歲暮歸南山
不,才,明,主,棄,孟浩然,歲暮歸南山
多,病,故,人,疎,孟浩然,歲暮歸南山
白,髮,催,年,老,孟浩然,歲暮歸南山
青,陽,逼,歲,除,孟浩然,歲暮歸南山
永,懷,愁,不,寐,孟浩然,歲暮歸南山
松,月,夜,窗,虛,孟浩然,歲暮歸南山
迢,遞,三,巴,路,孟浩然,歲除夜有懷
羈,危,萬,里,身,孟浩然,歲除夜有懷
亂,山,殘,雪,夜,孟浩然,歲除夜有懷
孤,燈,異,鄉,人,孟浩然,歲除夜有懷
漸,與,骨,肉,遠,孟浩然,歲除夜有懷
轉,於,奴,僕,親,孟浩然,歲除夜有懷
那,堪,正,飄,泊,孟浩然,歲除夜有懷
來,日,歲,華,新,孟浩然,歲除夜有懷
春,眠,不,覺,曉,孟浩然,春曉
處,處,聞,啼,鳥,孟浩然,春曉
夜,來,風,雨,聲,孟浩然,春曉
花,落,知,多,少,孟浩然,春曉
移,舟,泊,煙,渚,孟浩然,宿建德江
日,暮,客,愁,新,孟浩然,宿建德江
野,曠,天,低,樹,孟浩然,宿建德江
江,清,月,近,人,孟浩然,宿建德江
蠶,叢,及,魚,鳧,李白,蜀道難
開,國,何,茫,然,李白,蜀道難
青,泥,何,盤,盤,李白,蜀道難
其,險,也,如,此,李白,蜀道難
所,守,或,匪,親,李白,蜀道難
化,爲,狼,與,豺,李白,蜀道難
錦,城,雖,云,樂,李白,蜀道難
不,如,早,還,家,李白,蜀道難
與,君,歌,一,曲,李白,將進酒
早,被,嬋,娟,誤,杜荀鶴,春宮怨
欲,妝,臨,鏡,慵,杜荀鶴,春宮怨
承,恩,不,在,貌,杜荀鶴,春宮怨
教,妾,若,爲,容,杜荀鶴,春宮怨
風,暖,鳥,聲,碎,杜荀鶴,春宮怨
日,高,花,影,重,杜荀鶴,春宮怨
年,年,越,溪,女,杜荀鶴,春宮怨
相,憶,採,芙,蓉,杜荀鶴,春宮怨
天,秋,月,又,滿,戴叔倫,客夜與故人偶集
城,闕,夜,千,重,戴叔倫,客夜與故人偶集
還,作,江,南,會,戴叔倫,客夜與故人偶集
翻,疑,夢,裏,逢,戴叔倫,客夜與故人偶集
風,枝,驚,暗,鵲,戴叔倫,客夜與故人偶集
露,草,覆,寒,蛩,戴叔倫,客夜與故人偶集
羈,旅,長,堪,醉,戴叔倫,客夜與故人偶集
相,留,畏,曉,鐘,戴叔倫,客夜與故人偶集
鷲,翎,金,僕,姑,盧綸,和張僕射塞下曲 一
燕,尾,繡,蝥,弧,盧綸,和張僕射塞下曲 一
獨,立,揚,新,令,盧綸,和張僕射塞下曲 一
