id,tag,value,copyCount,author
L200,动画,动画/人啊...想要保护重要东西的时候，就真的能变得很坚强。,0,网络
L201,动画,动画/扎古不论怎么化妆都不可能变成高达的。,0,网络
L202,动画,动画/只要是正义的一方，无论手段多么卑鄙都可以被原谅,0,网络
L203,动画,动画/让我们开始我们的约会（战争）吧,0,网络
L204,动画,动画/廉价的自尊、粗劣的傲气，无论哪个后生小辈都很重视这些东西。,0,网络
L205,动画,动画/我不是天生的王者 但我骨子里流动着不让我低头的血液,0,网络
L206,动画,动画/正因为有忘也忘不了的回忆，才会变得坚强，这就是所谓的成长吧！,0,网络
L207,动画,动画/总有一天，我要撕碎这片虚伪的星空。,0,网络
L208,动画,动画/魔装少女就是本少爷！,0,网络
L209,动画,动画/有话直说就是我的忍道！,0,网络
L210,动画,动画/神会对努力之人微笑，这是骗人的，但我们偶然会被命运之神垂青。,0,网络
L211,动画,动画/人的记忆本来就是暧昧的，不值得信任。,0,网络
L212,动画,动画/我再也不要看见她哭的样子了，就算我从此从她心目中消失。,0,网络
L213,动画,动画/受尽苦难而不厌，此乃阿修罗之道。,0,网络
L214,动画,动画/雨滴降落的速度是每秒十米，我该用怎么样的速度，才能将你挽留？,0,网络
L215,动画,动画/我们总是在注意错过太多，却不注意自己拥有多少。,0,网络
L216,动画,动画/今日已成往昔，明日即将到来，为此理所当然之事，感到无比痛心。,0,网络
L217,动画,动画/前天是小兔子，昨天是小鹿，今天是你。,0,网络
L218,动画,动画/天才的字典里，没有不可能这三个字。,0,网络
L219,动画,动画/欧拉欧拉欧拉欧拉！,0,网络
L220,动画,动画/只要引导着二人的两把命运之剑还在身边，我们就绝不会失败。,0,网络
L221,动画,动画/在排练的休息时间里要好好补充水分和盐分哦！,0,网络
L222,动画,动画/你只见树，未见森林,0,网络
L223,动画,动画/必须洗净一切往事，否则你永远无法清楚自由地看这个世界,0,网络
L224,动画,动画/至少恋爱不是种机会，我认为它是一种意志。,0,网络
L225,动画,动画/告诉我，神会流血吗？——神不会，但你会。,0,网络
L226,动画,"动画/这里有你,他现在只有我了。",0,网络
L227,动画,动画/加油,0,网络
L228,动画,动画/重要的是无论我们选择哪条路，都要担负起选择的责任。,0,网络
L229,动画,动画/今天的我，凌驾于阿修罗之上！,0,网络
L230,动画,动画/夕阳真是耀眼无比啊。,0,网络
L231,动画,动画/从开始的第一天起，就回不去了。,0,网络
L232,动画,动画/求你，保护那孩子，消除灾厄，抹除祸事。哪怕…那是我自己…,0,网络
L233,动画,动画/喜欢和不讨厌之间可是有着数亿光年的距离的。,0,网络
L234,动画,动画/即使我弱了，也并不代表你强了,0,网络
L235,动画,动画/El Psy Congroo..,0,网络
L236,动画,动画/想说什么就说，想做什么就做，我们不就是这么一直过来的吗？,0,网络
L237,动画,动画/我到底要以怎么样的速度生活才能与你再次相遇？,0,网络
L238,动画,动画/在灾难面前，如果连英雄都逃跑了，那还有谁能站出来？,0,网络
L239,动画,动画/从这里（太空）根本看不到什么国境线，只有地球。,0,网络
L240,动画,动画/世界不完美 所以才显得美丽,0,网络
L241,动画,动画/枷锁，自然规律，时光的流逝，名为身体的容器，名为心灵的自我。,0,网络
L242,动画,"动画/人难免伤害别人,也难免受伤,不过,人是不会轻易讨厌别人的.",0,网络
L243,动画,动画/从你站在桥上看我的 那一刻起你就是我的世界。,0,网络
L244,动画,"动画/我们都很执着,而且思念的越深,越是绝望。",0,网络
L245,动画,动画/将愿望倾入不愿忘却的回忆中…,0,网络
L246,动画,动画/千军万马滚滚来，不知何人留情怀！,0,网络
L247,动画,动画/不好意思，我喜欢的是艾米莉亚,0,网络
L248,动画,动画/那是，未满45秒的邂逅。,0,网络
